scenario,date,point,p5,p15,p50,p85,p95
S4,2027-03-01,102.74,100.6,101.7,103.47,105.37,106.46
S4,2027-04-01,103.02,100.75,101.79,103.71,105.68,106.81
S4,2027-05-01,103.35,100.95,102.1,104.14,106.16,107.22
S4,2027-06-01,103.93,101.45,102.62,104.81,106.73,108.23
S4,2027-07-01,104.15,101.74,102.71,105.04,107.11,108.43
S4,2027-08-01,104.36,101.83,102.88,105.19,107.5,108.83
S4,2027-09-01,104.93,102.42,103.47,105.74,108.21,109.53
S4,2027-10-01,105.27,102.93,103.91,106.22,108.79,110.06
S4,2027-11-01,105.58,103.18,104.19,106.43,109.07,110.34
S4,2027-12-01,106.09,103.5,104.7,107.02,109.85,111.5
S4,2028-01-01,106.39,103.82,105.04,107.43,110.18,111.69
S4,2028-02-01,106.68,103.98,105.34,107.91,110.55,112.44
S4,2028-03-01,107.19,104.36,105.92,108.53,111.08,113.02
S4,2028-04-01,107.56,104.67,106.18,108.85,111.72,113.56
S4,2028-05-01,107.9,105.18,106.56,109.33,112.32,113.86
S4,2028-06-01,108.36,105.63,106.99,109.73,112.78,114.44
S4,2028-07-01,108.7,105.81,107.2,110.28,113.11,115.17
S4,2028-08-01,109.04,105.89,107.59,110.6,113.76,115.84
S4,2028-09-01,109.5,106.67,108.22,111.06,114.29,116.47
S4,2028-10-01,109.89,107.12,108.44,111.56,114.9,117.07
S4,2028-11-01,110.25,107.19,108.76,111.75,115.03,117.39
S4,2028-12-01,110.68,107.62,109.14,112.26,115.48,118.74
S4,2029-01-01,111.06,108.05,109.15,113.0,116.3,118.95
S4,2029-02-01,111.42,108.11,109.7,113.22,116.7,120.13
S4,2029-03-01,111.87,108.75,110.21,113.72,117.3,120.21
S4,2029-04-01,112.28,108.93,110.59,114.22,118.0,120.11
S4,2029-05-01,112.66,109.11,110.67,114.69,118.14,120.44
S4,2029-06-01,113.09,109.39,111.48,114.95,118.94,121.83
S4,2029-07-01,113.49,109.78,111.76,115.43,119.56,121.97
S4,2029-08-01,113.88,109.95,112.18,115.86,120.16,122.46
S4,2029-09-01,114.32,110.62,112.7,116.39,120.62,123.89
S4,2029-10-01,114.74,111.22,112.97,116.91,121.25,124.04
S4,2029-11-01,115.14,111.28,113.42,117.35,121.79,124.61
S4,2029-12-01,115.57,111.86,114.09,117.63,122.14,124.72
S4,2030-01-01,115.99,112.35,114.31,118.34,122.81,125.73
